<AP> IH T S TH S ER K AH AH L AH V L AY F <AP>|['rest', 'C4', 'C4', 'C4', 'C4', 'C5', 'C5', 'Ab4', 'Ab4', 'Ab4', 'Ab4', 'Gb4', 'Gb4', 'Ab4', 'Ab4', 'Ab4', 'rest']|['0.0286', '0.1786', '0.1786', '0.1786', '0.1786', '0.5357', '0.5357', '0.5357', '0.5357', '0.5357', '0.5357', '0.3571', '0.3571', '2.0000', '2.0000', '2.0000', '0.0286']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> AO L TH S T T AA R Z W IY S T T IY L F R AH M TH N AY AY T S K AY <AP>|['rest', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'G3', 'G3', 'C4', 'C4', 'C4', 'C4', 'C4', 'G3', 'G3', 'G3', 'G3', 'B3', 'C4', 'C4', 'C4', 'C4', 'Db4', 'Db4', 'Db4', 'rest']|['0.0348', '0.2174', '0.2174', '0.2174', '0.6522', '0.6522', '0.6522', '0.6522', '0.6522', '0.6522', '0.2174', '0.2174', '0.4348', '0.4348', '0.4348', '0.4348', '0.4348', '0.2174', '0.2174', '0.2174', '0.2174', '0.2174', '0.4348', '0.4348', '0.4348', '0.4348', '0.4348', '0.4348', '0.4348', '0.0348']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> HH AW AY W AH N D ER W AH T Y UW AA R <AP>|['rest', 'D4', 'D4', 'D4', 'B3', 'B3', 'B3', 'B3', 'B3', 'Ab3', 'Ab3', 'Ab3', 'Ab3', 'Ab3', 'Gb3', 'Gb3', 'rest']|['0.0240', '0.6000', '0.6000', '0.6000', '1.2000', '1.2000', '1.2000', '1.2000', '1.2000', '0.6000', '0.6000', '0.6000', '0.6000', '0.6000', '1.2000', '1.2000', '0.0240']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> AY M IH N L AH V W IH DH TH SH EY P AH V Y UW <AP>|['rest', 'Bb3', 'Bb3', 'Db4', 'Db4', 'Eb4', 'Eb4', 'Eb4', 'D4', 'D4', 'D4', 'B3', 'B3', 'B3', 'B3', 'Db4', 'Db4', 'Db4', 'Db4', 'rest']|['0.0273', '0.1705', '0.1705', '0.1705', '0.1705', '0.3409', '0.3409', '0.3409', '0.1705', '0.1705', '0.1705', '0.1705', '0.3409', '0.3409', '0.3409', '0.3409', '0.3409', '0.6818', '0.6818', '0.0273']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> Y UW AH N D M IY F R AH M W AH N W ER L D <AP>|['rest', 'C4', 'C4', 'Eb4', 'Eb4', 'Eb4', 'Ab3', 'Ab3', 'Bb3', 'Bb3', 'Bb3', 'Bb3', 'C4', 'C4', 'C4', 'F3', 'F3', 'F3', 'F3', 'rest']|['0.0369', '0.9231', '0.9231', '0.9231', '0.9231', '0.9231', '1.8462', '1.8462', '0.9231', '0.9231', '0.9231', '0.9231', '0.9231', '0.9231', '0.9231', '1.8462', '1.8462', '1.8462', '1.8462', '0.0369']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> W IY AA R F AE M AH L IY <AP>|['rest', 'B3', 'B3', 'Db4', 'Db4', 'Eb4', 'Eb4', 'Gb4', 'Gb4', 'Db4', 'Db4', 'rest']|['0.0369', '0.9231', '0.9231', '0.9231', '0.9231', '0.9231', '0.9231', '0.9231', '0.9231', '1.8462', '1.8462', '0.0369']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> AY M HH IY R W EH N Y UW K R AY <AP>|['rest', 'B3', 'B3', 'B3', 'B3', 'B3', 'Db4', 'Db4', 'Db4', 'Eb4', 'Eb4', 'B3', 'B3', 'B3', 'rest']|['0.0250', '0.3125', '0.3125', '0.3125', '0.3125', '0.3125', '0.3125', '0.3125', '0.3125', '0.3125', '0.3125', '0.3125', '0.3125', '0.3125', '0.0250']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> HH EY JH UW D D OW N T M EY K M IY K R AY <AP>|['rest', 'F4', 'F4', 'D4', 'D4', 'D4', 'D4', 'D4', 'D4', 'D4', 'F4', 'F4', 'F4', 'G4', 'G4', 'C4', 'C4', 'C4', 'rest']|['0.0324', '0.8108', '0.8108', '2.0270', '2.0270', '2.0270', '0.4054', '0.4054', '0.4054', '0.4054', '0.4054', '0.4054', '0.4054', '0.4054', '0.4054', '1.6216', '1.6216', '1.6216', '0.0324']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> D OW N T G OW T AH AH N AY T <AP>|['rest', 'C4', 'C4', 'C4', 'C4', 'G4', 'G4', 'E4', 'E4', 'E4', 'E4', 'E4', 'E4', 'rest']|['0.0343', '0.6429', '0.6429', '0.6429', '0.6429', '0.8571', '0.8571', '0.6429', '0.6429', '0.6429', '0.6429', '0.6429', '0.6429', '0.0343']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> UW UW UW W AY D IH D Y UW HH AE V T UW G OW <AP>|['rest', 'A4', 'G4', 'A4', 'A4', 'A4', 'G4', 'G4', 'G4', 'F4', 'F4', 'C4', 'C4', 'C4', 'C4', 'C4', 'F4', 'F4', 'rest']|['0.0240', '1.2000', '1.2000', '1.2000', '0.3000', '0.3000', '0.3000', '0.3000', '0.3000', '0.3000', '0.3000', '0.3000', '0.3000', '0.3000', '0.3000', '0.3000', '0.9000', '0.9000', '0.0240']|[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> IH F TH HH IH IH R OW N EH V ER K AH M Z T UW Y UW <AP>|['rest', 'F4', 'F4', 'F4', 'F4', 'F4', 'Eb4', 'Eb4', 'Eb4', 'Db4', 'Db4', 'C4', 'C4', 'Bb3', 'Bb3', 'Bb3', 'Bb3', 'Eb4', 'Eb4', 'Eb4', 'Eb4', 'rest']|['0.0240', '0.1500', '0.1500', '0.1500', '0.6000', '0.6000', '0.6000', '0.6000', '0.6000', '0.6000', '0.6000', '0.6000', '0.6000', '0.9000', '0.9000', '0.9000', '0.9000', '0.3000', '0.3000', '1.2000', '1.2000', '0.0240']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> B AH T IH F Y UW W AA N AH K R AY <AP>|['rest', 'B3', 'B3', 'B3', 'B3', 'B3', 'Db4', 'Db4', 'D4', 'D4', 'Gb4', 'Gb4', 'B4', 'B4', 'B4', 'rest']|['0.0240', '0.1500', '0.1500', '0.1500', '0.4500', '0.4500', '0.3000', '0.3000', '0.6000', '0.6000', '0.6000', '0.6000', '0.9000', '0.9000', '0.9000', '0.0240']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> K R AY AA N M AY SH OW L D ER <AP>|['rest', 'Db4', 'Db4', 'Db4', 'Db4', 'Db4', 'Eb4', 'Eb4', 'Db4', 'Db4', 'Db4', 'C4', 'C4', 'rest']|['0.0240', '0.3000', '0.3000', '0.3000', '0.6000', '0.6000', '0.3000', '0.3000', '0.6000', '0.6000', '0.6000', '0.9000', '0.9000', '0.0240']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> AY F EH L IH N L AH V W IH DH Y UW W AA CH IH NG K AE S AH B L AE NG K AH <AP>|['rest', 'Eb4', 'Eb4', 'Eb4', 'Eb4', 'Eb4', 'Eb4', 'Eb4', 'Eb4', 'Eb4', 'D4', 'D4', 'D4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'rest']|['0.0316', '0.3158', '0.3158', '0.3158', '0.3158', '0.3158', '0.3158', '0.3947', '0.3947', '0.3947', '0.3947', '0.3947', '0.3947', '0.5921', '0.5921', '0.5921', '0.5921', '0.5921', '0.5921', '0.5921', '1.5789', '1.5789', '1.5789', '1.5789', '1.5789', '1.5789', '1.5789', '1.5789', '1.5789', '1.5789', '0.0316']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
