<AP> W AO JH IY ^ AY N IY Y UW AA R M AY S UW P ER S T AA R <AP>|['rest', 'E4', 'E4', 'G4', 'G4', 'C5', 'C5', 'A4', 'A4', 'Ab4', 'Ab4', 'Gb4', 'Gb4', 'Ab4', 'Ab4', 'G4', 'G4', 'F4', 'F4', 'C4', 'C4', 'C4', 'C4', 'rest']|['0.0282', '0.3529', '0.3529', '0.3529', '0.3529', '0.3529', '0.3529', '0.7059', '0.7059', '0.3529', '0.3529', '0.3529', '0.3529', '0.3529', '0.3529', '0.3529', '0.3529', '0.3529', '0.3529', '0.7059', '0.7059', '0.7059', '0.7059', '0.0282']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> K AY SH IY D AW SH UW TH R IY T UW W AH N AY AE M AO L W EY Z AO N L AY N <AP>|['rest', 'E4', 'E4', 'E4', 'E4', 'D4', 'D4', 'C4', 'C4', 'E4', 'E4', 'E4', 'E4', 'E4', 'E4', 'E4', 'E4', 'E4', 'F4', 'F4', 'D4', 'D4', 'D4', 'D4', 'D4', 'C4', 'C4', 'D4', 'D4', 'D4', 'rest']|['0.0200', '0.2500', '0.2500', '0.2500', '0.2500', '0.2500', '0.2500', '0.2500', '0.2500', '0.5000', '0.5000', '0.5000', '0.2500', '0.2500', '0.5000', '0.5000', '0.5000', '0.2500', '0.2500', '0.2500', '0.5000', '0.5000', '0.2500', '0.2500', '0.2500', '0.2500', '0.2500', '0.7500', '0.7500', '0.7500', '0.0200']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
<AP> HH OW B EY B IY Q IY NG HH UW AA D UW AO SH UW AO Y IY D IY AE N <AP>|['rest', 'B3', 'B3', 'Db4', 'Db4', 'Db4', 'Db4', 'Eb4', 'Eb4', 'Eb4', 'Eb4', 'Eb4', 'Eb4', 'Gb4', 'Gb4', 'Gb4', 'Gb4', 'Gb4', 'Gb4', 'Gb4', 'Gb4', 'E4', 'E4', 'E4', 'E4', 'rest']|['0.0160', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.2000', '0.4800', '0.4800', '0.4000', '0.4000', '0.4000', '0.4000', '0.0160']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
<AP> AY L S T EY W IH DH Y UW D AH NG D AY JH ER R IY CH UW <AP>|['rest', 'C4', 'C4', 'C5', 'C5', 'C5', 'C5', 'C5', 'C5', 'A4', 'A4', 'E4', 'E4', 'E4', 'F4', 'F4', 'C5', 'C5', 'C5', 'C5', 'A4', 'A4', 'rest']|['0.0140', '0.3509', '0.3509', '0.3509', '0.3509', '0.3509', '0.1754', '0.1754', '0.1754', '1.5789', '1.5789', '0.3509', '0.3509', '0.3509', '0.3509', '0.3509', '0.3509', '0.3509', '0.1754', '0.1754', '1.5789', '1.5789', '0.0140']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
<AP> AY M L EH T IH IH NG G OW <AP> W AO JH UH NG Y UW SH ER D ER W EY N IY F AE NG K AY SH OW <AP>|['rest', 'B3', 'B3', 'Db4', 'Db4', 'D4', 'D4', 'E4', 'E4', 'E4', 'E4', 'rest', 'Ab4', 'Ab4', 'A4', 'A4', 'A4', 'G4', 'G4', 'Gb4', 'Gb4', 'E4', 'E4', 'E4', 'E4', 'B3', 'B3', 'Gb4', 'Gb4', 'Gb4', 'Ab4', 'Ab4', 'G4', 'G4', 'rest']|['0.0200', '0.1250', '0.1250', '0.8000', '0.8000', '0.8000', '0.8000', '0.8000', '0.8000', '0.3750', '0.3750', '0.2000', '0.1250', '0.1250', '0.1250', '0.1250', '0.1250', '0.1250', '0.1250', '0.1250', '0.1250', '0.1250', '0.1250', '0.2500', '0.2500', '0.2500', '0.2500', '0.2500', '0.2500', '0.2500', '0.1250', '0.1250', '0.3750', '0.3750', '0.0200']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
<AP> G UW SH IY X IY N IY R OW M AE N T IH K M IH S T ER IY SH AH N M IY <AP>|['rest', 'B3', 'B3', 'G4', 'G4', 'Gb4', 'Gb4', 'G4', 'G4', 'G4', 'G4', 'A4', 'A4', 'A4', 'B4', 'B4', 'B4', 'B4', 'B4', 'B4', 'C5', 'C5', 'C5', 'E5', 'E5', 'E5', 'A4', 'A4', 'rest']|['0.0218', '0.2727', '0.2727', '0.2727', '0.2727', '0.2727', '0.2727', '0.5455', '0.5455', '0.2727', '0.2727', '0.2727', '0.2727', '0.2727', '0.2727', '0.2727', '0.2727', '0.5455', '0.5455', '0.5455', '0.5455', '0.5455', '0.5455', '0.5455', '0.5455', '0.5455', '0.5455', '0.5455', '0.0218']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]
<AP> B EY B IY N IY J IY UH SH IY W AO D ER W EY Y IY <AP>|['rest', 'G4', 'G4', 'G4', 'G4', 'F4', 'F4', 'F4', 'F4', 'F4', 'F4', 'F4', 'C4', 'C4', 'F4', 'F4', 'G4', 'G4', 'A4', 'A4', 'rest']|['0.0400', '1.0000', '1.0000', '1.0000', '1.0000', '0.5000', '0.5000', '0.5000', '0.5000', '0.5000', '0.5000', '0.5000', '0.5000', '0.5000', '0.5000', '0.5000', '0.2500', '0.2500', '1.2500', '1.2500', '0.0400']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
<AP> JH AH S T F AA L OW M IY G AE N SH OW W AO D ER L IY L IY AE NG <AP>|['rest', 'C4', 'C4', 'C4', 'C4', 'D4', 'D4', 'E4', 'E4', 'E4', 'E4', 'E4', 'E4', 'E4', 'E4', 'E4', 'D4', 'D4', 'D4', 'D4', 'C4', 'C4', 'C4', 'C4', 'C4', 'C4', 'rest']|['0.0218', '0.1364', '0.1364', '0.1364', '0.1364', '0.2727', '0.2727', '0.2727', '0.2727', '0.2727', '0.2727', '0.1364', '0.1364', '0.1364', '0.1364', '0.1364', '0.1364', '0.1364', '0.1364', '0.1364', '0.1364', '0.1364', '0.5455', '0.5455', '0.5455', '0.5455', '0.0218']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
<AP> <SP> CH AH N F AH NG B AA S AE N CH UW IY HH UW IY <AP>|['rest', 'rest', 'Ab4', 'Ab4', 'Ab4', 'A4', 'A4', 'A4', 'Ab4', 'Ab4', 'Gb4', 'Gb4', 'Gb4', 'Ab4', 'Ab4', 'Ab4', 'Eb4', 'Eb4', 'Eb4', 'rest']|['0.0240', '0.6000', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.3000', '0.3000', '0.3000', '0.7500', '0.7500', '0.7500', '0.0240']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
<AP> Y UW T S UH NG W EY T EY K M IY AH W W EY N AW G OW L ER M EY <AP>|['rest', 'B3', 'B3', 'E4', 'E4', 'E4', 'E4', 'Gb4', 'Gb4', 'Ab4', 'Ab4', 'Ab4', 'Ab4', 'Ab4', 'Ab4', 'Ab4', 'Gb4', 'Gb4', 'Ab4', 'Ab4', 'Ab4', 'Ab4', 'Ab4', 'Ab4', 'Gb4', 'Gb4', 'rest']|['0.0240', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.4500', '0.4500', '0.4500', '0.4500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.1500', '0.6000', '0.6000', '0.0240']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
